"","df.Music","df.Slow.songs.or.fast.songs","df.Dance","df.Folk","df.Country","df.Classical.music","df.Musical","df.Rock","df.Metal.or.Hardrock","df.Punk","df.Hiphop..Rap","df.Reggae..Ska","df.Swing..Jazz","df.Rock.n.roll","df.Alternative","df.Latino","df.Techno..Trance","df.Opera","df.Pop","cluster","Pc1","Pc2","kclust","hclust"
"1",-5,-3,-2,-1,-2,-2,-1,-5,-1,-1,-1,-1,-1,-3,-1,-1,-1,-1,-5,1,2.32082074548745,1.78374414489044,"1","1"
"2",-4,-4,-2,-1,-1,-1,-2,-5,-4,-4,-1,-3,-1,-4,-4,-2,-1,-1,-3,3,0.230878360897071,3.47043197107561,"3","2"
"3",-5,-5,-2,-2,-3,-4,-5,-5,-3,-4,-1,-4,-3,-5,-5,-5,-1,-3,-3,3,-3.39232209853585,0.324397454069584,"3","2"
"4",-5,-3,-2,-1,-1,-1,-1,-2,-1,-4,-2,-2,-1,-2,-5,-1,-2,-1,-2,1,2.22404361965333,3.03702319340123,"1","1"
"5",-5,-3,-4,-3,-2,-4,-3,-3,-1,-2,-5,-3,-2,-1,-2,-4,-2,-2,-5,1,1.37834515145213,-2.20221909000022,"1","3"
"6",-5,-3,-2,-3,-2,-3,-3,-5,-5,-3,-4,-3,-4,-4,-5,-3,-1,-3,-2,3,-2.62948530232611,1.33940216954032,"3","2"
"7",-5,-5,-5,-3,-1,-2,-2,-3,-1,-1,-3,-1,-1,-2,-3,-3,-5,-2,-5,1,2.8756552597616,-1.49157398703663,"1","1"
"8",-5,-3,-3,-2,-1,-2,-2,-5,-1,-2,-3,-2,-2,-3,-1,-2,-3,-2,-4,1,1.60557281551331,0.311722375366892,"1","1"
"9",-5,-3,-2,-5,-2,-2,-5,-5,-2,-3,-2,-4,-4,-4,-4,-5,-1,-2,-3,2,-2.53560252937614,-0.613763062240479,"2","2"
"10",-5,-3,-3,-2,-1,-2,-3,-3,-2,-1,-3,-2,-2,-3,-3,-3,-4,-2,-4,1,1.51928631634912,-0.439888332076472,"1","3"
"11",-5,-3,-1,-1,-1,-4,-1,-5,-1,-1,-1,-1,-2,-2,-5,-2,-1,-2,-2,3,0.519500039210223,2.88553639510168,"3","2"
"12",-5,-3,-1,-2,-1,-4,-3,-5,-4,-2,-3,-1,-1,-4,-3,-2,-1,-2,-3,3,-0.384187735618427,2.26960962977948,"3","2"
"13",-5,-3,-5,-3,-2,-1,-5,-2,-1,-1,-2,-1,-3,-2,-1,-3,-1,-1,-5,1,2.23075174698188,-1.88118709566852,"1","3"
"14",-5,-3,-2,-1,-1,-2,-3,-5,-2,-5,-3,-4,-4,-4,-4,-1,-1,-1,-4,3,-0.748487656550215,1.90772491624971,"3","2"
"15",-1,-3,-2,-2,-3,-4,-3,-5,-5,-5,-2,-4,-2,-3,-3,-2,-1,-2,-3,3,-1.56162454126106,2.45637391667597,"3","2"
"16",-5,-3,-3,-1,-1,-1,-2,-4,-1,-3,-2,-3,-2,-3,-1,-1,-4,-1,-4,1,2.29715375583952,0.982970071389919,"1","1"
"17",-5,-3,-3,-3,-3,-2,-2,-4,-2,-3,-3,-4,-3,-3,-1,-2,-1,-3,-4,1,-0.0764816627736149,-0.0822572830620874,"1","1"
"18",-5,-3,-5,-4,-3,-4,-5,-4,-4,-3,-4,-4,-4,-4,-4,-4,-4,-3,-5,2,-2.49124393723293,-2.84446025587933,"2","3"
"19",-5,-4,-3,-3,-2,-4,-2,-4,-5,-2,-1,-4,-5,-4,-3,-4,-3,-2,-2,3,-2.07822863560868,0.45844474834987,"3","2"
"20",-5,-3,-3,-2,-3,-4,-3,-5,-5,-4,-4,-3,-5,-4,-5,-3,-3,-4,-2,3,-3.35564473770542,0.552669608635558,"3","2"
"21",-5,-5,-1,-1,-3,-2,-2,-5,-5,-4,-1,-2,-1,-4,-3,-2,-1,-2,-2,3,-0.714568901122784,3.7651968538477,"3","2"
"22",-5,-3,-4,-2,-2,-2,-4,-5,-2,-3,-3,-3,-3,-3,-1,-4,-1,-1,-4,2,0.292062676438957,-0.641207503041775,"2","3"
"23",-5,-2,-3,-1,-1,-4,-3,-5,-5,-5,-1,-1,-1,-2,-3,-2,-3,-4,-3,3,-0.864990311988946,2.4198767715834,"3","2"
"24",-5,-3,-4,-2,-1,-2,-3,-1,-1,-1,-3,-1,-2,-1,-1,-4,-2,-1,-5,1,3.55806470088534,-1.50413779272863,"1","1"
"25",-5,-5,-5,-5,-4,-5,-3,-4,-3,-2,-2,-1,-3,-5,-3,-5,-2,-2,-4,2,-1.94039740306687,-2.0230955652075,"2","3"
"26",-4,-5,-3,-4,-1,-3,-2,-4,-2,-4,-2,-4,-2,-3,-4,-3,-4,-2,-2,3,-0.298181862442579,0.817879987607933,"3","2"
"27",-5,-3,-5,-1,-1,-1,-1,-4,-1,-3,-5,-2,-1,-4,-3,-2,-3,-1,-3,1,2.41436070068672,0.502262063378679,"1","1"
"28",-5,-4,-3,-4,-2,-3,-3,-4,-1,-3,-3,-4,-3,-4,-3,-4,-3,-2,-3,2,-0.791776846741424,-0.947681572199985,"2","3"
"29",-4,-3,-4,-3,-3,-3,-3,-4,-2,-2,-4,-3,-4,-3,-3,-3,-3,-3,-4,2,-0.505220551675889,-1.50094266786964,"2","3"
"30",-4,-3,-4,-1,-3,-2,-3,-3,-1,-1,-3,-3,-2,-1,-1,-5,-1,-2,-5,1,2.26948719174163,-1.73670308449613,"1","3"
"31",-5,-5,-3,-1,-3,-2,-3,-4,-3,-4,-4,-2,-2,-4,-4,-2,-3,-1,-3,3,0.256087400366534,1.13880293701303,"3","2"
"32",-5,-4,-2,-2,-3,-4,-5,-3,-1,-1,-1,-3,-4,-4,-3,-2,-1,-5,-4,2,-1.56419617039222,-0.785806518262798,"2","3"
"33",-5,-4,-3,-2,-1,-3,-4,-5,-3,-4,-2,-3,-3,-4,-4,-2,-1,-1,-4,3,-1.00477701021823,1.24220858916497,"3","2"
"34",-5,-3,-3,-3,-1,-4,-5,-3,-1,-1,-4,-3,-1,-3,-3,-5,-1,-1,-5,2,0.817859906354925,-1.9610672402334,"2","3"
"35",-5,-3,-1,-3,-2,-3,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4,-4,1,1.06628608949242,0.872257758532163,"1","3"
"36",-5,-5,-1,-1,-1,-5,-1,-3,-5,-2,-1,-2,-2,-2,-1,-1,-1,-1,-2,3,1.0624642335233,3.47706038913963,"3","2"
"37",-5,-5,-5,-3,-1,-5,-2,-4,-1,-2,-4,-5,-2,-2,-1,-3,-4,-4,-5,2,0.822323714913421,-2.47743532681419,"2","3"
"38",-5,-3,-3,-3,-2,-2,-3,-5,-4,-4,-1,-2,-1,-5,-2,-1,-2,-2,-5,3,-0.615921833680604,1.49252672579552,"3","2"
"39",-4,-3,-4,-1,-1,-1,-1,-1,-1,-1,-3,-2,-1,-1,-1,-2,-3,-1,-5,1,4.83892643114731,-0.23901175068012,"1","1"
"40",-5,-4,-5,-5,-5,-5,-1,-4,-5,-1,-5,-5,-5,-5,-5,-5,-5,-1,-1,2,-3.08060923804257,-2.06826833211487,"2","3"
"41",-5,-5,-2,-2,-2,-3,-4,-5,-4,-4,-3,-3,-3,-3,-4,-3,-3,-1,-5,3,-0.857046039170667,0.535688329013652,"3","2"
"42",-5,-4,-3,-1,-1,-2,-2,-4,-1,-2,-3,-2,-2,-2,-4,-3,-3,-1,-5,1,2.06715693433735,0.172262671375614,"1","3"
"43",-4,-4,-4,-2,-1,-3,-3,-4,-1,-1,-3,-1,-3,-3,-4,-5,-4,-3,-4,2,0.747711887649,-1.49781340683634,"2","3"
"44",-5,-3,-4,-3,-4,-1,-5,-5,-3,-2,-5,-2,-3,-5,-4,-5,-2,-2,-5,2,-1.28332661824133,-2.17067079194124,"2","3"
"45",-5,-4,-3,-1,-1,-1,-4,-2,-1,-2,-5,-5,-2,-2,-2,-4,-2,-1,-3,1,2.44555537251743,-0.889479058762297,"1","3"
"46",-5,-4,-2,-1,-2,-2,-2,-5,-3,-5,-3,-2,-2,-4,-2,-1,-2,-1,-3,3,0.325180825707574,2.64366868232046,"3","2"
"47",-4,-3,-2,-4,-2,-5,-5,-5,-2,-4,-4,-4,-3,-4,-4,-5,-1,-2,-5,2,-2.54460891505528,-1.33657297708866,"2","3"
"48",-5,-3,-5,-5,-5,-5,-5,-5,-4,-2,-5,-5,-5,-5,-2,-5,-2,-5,-5,2,-4.30502335366572,-4.34445374836054,"2","3"
"49",-5,-3,-4,-4,-3,-4,-5,-3,-2,-2,-3,-3,-3,-3,-3,-5,-2,-5,-4,2,-1.72694282767814,-2.77559190384742,"2","3"
"50",-5,-3,-5,-5,-3,-5,-5,-5,-4,-3,-3,-3,-4,-4,-3,-5,-4,-5,-5,2,-3.54964922736031,-3.29702668570518,"2","3"
"51",-5,-3,-4,-2,-2,-4,-3,-3,-3,-2,-4,-3,-3,-4,-4,-4,-5,-3,-4,2,-0.55700897498726,-1.67475049621599,"2","3"
"52",-5,-3,-3,-3,-2,-3,-2,-5,-2,-2,-2,-2,-4,-5,-5,-1,-1,-2,-2,3,-1.56933823306813,1.6058115378245,"3","2"
"53",-5,-5,-5,-3,-2,-3,-2,-1,-1,-1,-2,-2,-1,-2,-2,-3,-3,-1,-5,1,2.98953803310611,-1.60036855602998,"1","1"
"54",-5,-4,-2,-1,-2,-3,-1,-4,-3,-5,-3,-3,-4,-5,-5,-1,-4,-3,-3,3,-1.4289117645474,1.96592178452877,"3","2"
"55",-5,-2,-2,-2,-2,-4,-4,-4,-1,-3,-2,-3,-3,-4,-4,-2,-1,-3,-4,3,-1.40664522115939,0.33550536712658,"3","2"
"56",-5,-3,-5,-1,-2,-4,-3,-4,-1,-2,-3,-2,-3,-3,-3,-4,-4,-3,-4,2,0.326143348147128,-1.7127687594066,"2","3"
"57",-5,-3,-5,-4,-5,-4,-4,-4,-5,-4,-5,-4,-5,-5,-5,-4,-5,-5,-5,2,-4.19416386841376,-3.18618379784613,"2","3"
"58",-5,-3,-3,-1,-1,-1,-4,-5,-1,-3,-2,-1,-2,-2,-1,-3,-2,-2,-4,1,1.71414176059315,0.53307590246533,"1","3"
"59",-4,-3,-3,-1,-2,-2,-1,-3,-3,-2,-4,-2,-2,-2,-1,-2,-4,-2,-3,1,2.40300512857528,0.74618281539517,"1","1"
"60",-4,-3,-4,-2,-2,-2,-4,-3,-4,-3,-3,-3,-3,-2,-2,-4,-5,-1,-5,2,0.968841635742643,-1.26808635033791,"2","3"
"61",-3,-4,-4,-3,-2,-2,-4,-1,-1,-1,-4,-3,-4,-4,-1,-5,-1,-1,-5,2,1.59621608342834,-2.78148884627369,"2","3"
"62",-5,-5,-3,-2,-1,-2,-4,-5,-5,-5,-1,-5,-4,-4,-3,-2,-4,-2,-3,3,-1.75747172827102,1.42605715832838,"3","2"
"63",-5,-4,-1,-1,-1,-1,-4,-4,-1,-1,-1,-1,-1,-2,-1,-4,-1,-2,-5,1,2.37878030151217,0.59558595452911,"1","3"
"64",-5,-3,-5,-2,-2,-2,-3,-3,-1,-1,-5,-2,-3,-1,-1,-2,-3,-1,-5,1,2.96019220937974,-1.91940750373476,"1","1"
"65",-4,-3,-2,-3,-1,-4,-1,-1,-1,-1,-4,-4,-1,-2,-3,-1,-3,-1,-4,1,2.56785627007886,0.154835765152518,"1","1"
"66",-5,-3,-2,-2,-2,-2,-5,-5,-2,-4,-4,-2,-2,-3,-3,-5,-1,-1,-5,2,-0.160987641756521,-0.364860323472583,"2","3"
"67",-5,-3,-3,-2,-2,-2,-1,-2,-1,-2,-5,-2,-2,-2,-2,-4,-3,-1,-5,1,2.79638574763397,-1.14450268513758,"1","3"
"68",-5,-3,-2,-1,-4,-5,-3,-1,-1,-1,-5,-4,-1,-1,-1,-1,-2,-4,-2,1,1.52507659338748,-0.47036231200614,"1","1"
"69",-5,-3,-3,-4,-4,-3,-1,-5,-4,-4,-3,-5,-4,-5,-4,-4,-1,-2,-1,3,-3.22864692318898,0.900861893653536,"3","2"
"70",-5,-3,-5,-1,-2,-2,-2,-4,-2,-1,-4,-2,-2,-2,-2,-5,-5,-1,-5,1,2.4378630871084,-1.97374876214951,"1","3"
"71",-4,-4,-4,-2,-4,-1,-5,-3,-1,-1,-4,-5,-5,-5,-3,-5,-4,-2,-5,2,-0.428714032797082,-3.59668163669683,"2","3"
"72",-5,-3,-4,-4,-4,-3,-4,-5,-2,-2,-5,-3,-3,-3,-3,-4,-4,-4,-5,2,-1.27142998210535,-2.95209282820152,"2","3"
"73",-5,-3,-4,-2,-2,-2,-3,-5,-2,-3,-4,-4,-3,-4,-2,-5,-3,-2,-4,2,-0.242395844330191,-1.39105262392575,"2","3"
"74",-5,-4,-4,-1,-2,-3,-3,-4,-2,-3,-4,-4,-3,-4,-3,-5,-3,-3,-5,2,-0.29256721790101,-1.75960184238074,"2","3"
"75",-5,-5,-1,-3,-1,-3,-2,-5,-5,-4,-1,-1,-2,-2,-5,-1,-1,-3,-1,3,-1.21057201636665,4.31150467910812,"3","2"
"76",-5,-3,-5,-1,-2,-4,-4,-5,-3,-1,-3,-2,-4,-3,-1,-5,-5,-3,-5,2,-0.0569663675233199,-2.6559343085794,"2","3"
"77",-5,-3,-1,-1,-4,-5,-5,-5,-5,-5,-4,-4,-5,-5,-4,-3,-1,-5,-1,3,-4.98133191523578,1.22462521133804,"3","2"
"78",-5,-2,-3,-3,-5,-5,-3,-4,-4,-1,-1,-1,-2,-3,-3,-2,-4,-3,-3,2,-1.42561128120493,0.0262130066907782,"2","2"
"79",-4,-3,-4,-3,-3,-3,-2,-5,-3,-3,-4,-3,-3,-3,-3,-2,-3,-3,-4,2,-0.646504096085575,-0.307943208825692,"2","3"
"80",-5,-4,-4,-1,-2,-2,-4,-5,-2,-4,-3,-5,-3,-4,-4,-5,-2,-1,-4,2,-0.792436418413083,-0.667577624988154,"2","3"
"81",-5,-5,-5,-1,-1,-5,-2,-5,-1,-1,-1,-1,-5,-5,-4,-5,-5,-1,-5,2,-0.254212788022628,-1.70301165111352,"2","3"
"82",-5,-3,-3,-2,-1,-4,-3,-5,-3,-3,-1,-2,-4,-4,-4,-2,-1,-3,-3,3,-1.80392668159615,1.42871435788565,"3","2"
"83",-4,-2,-3,-2,-1,-3,-4,-4,-1,-3,-1,-3,-1,-2,-3,-1,-1,-1,-3,1,0.930702199040081,1.57457568535891,"1","1"
"84",-5,-2,-1,-3,-4,-4,-4,-3,-1,-2,-1,-3,-5,-4,-3,-3,-1,-4,-2,2,-2.58121700692975,-0.102208013677011,"2","3"
"85",-5,-4,-1,-5,-5,-4,-4,-3,-3,-3,-1,-1,-5,-4,-1,-1,-1,-4,-4,3,-2.57445989925155,0.00121637707347533,"3","2"
"86",-5,-5,-5,-1,-1,-1,-2,-3,-1,-3,-5,-2,-1,-3,-3,-1,-4,-1,-4,1,3.23388707129426,0.0130936382111805,"1","1"
"87",-5,-3,-3,-2,-2,-4,-3,-3,-1,-2,-5,-5,-4,-4,-2,-3,-2,-2,-3,2,-0.217975202026253,-1.28777548837911,"2","3"
"88",-5,-3,-1,-1,-1,-1,-1,-4,-5,-4,-3,-1,-1,-1,-4,-1,-4,-1,-2,3,1.7227775598748,4.01736597762076,"3","2"
"89",-5,-3,-2,-1,-1,-1,-1,-1,-1,-1,-5,-2,-2,-1,-1,-1,-2,-1,-2,1,4.28353411401568,1.23568558269127,"1","1"
"90",-3,-5,-5,-1,-1,-1,-1,-5,-2,-1,-1,-3,-2,-2,-5,-5,-3,-1,-3,1,1.8264817288881,0.544751951834405,"1","3"
"91",-5,-3,-4,-1,-1,-2,-2,-2,-1,-3,-2,-4,-1,-2,-1,-4,-1,-1,-4,1,2.59918497076588,-0.121979331222281,"1","1"
"92",-5,-4,-4,-3,-2,-4,-5,-5,-3,-2,-4,-4,-3,-3,-2,-3,-2,-2,-4,2,-0.845016863246622,-1.38759304276645,"2","3"
"93",-5,-3,-1,-3,-2,-3,-1,-4,-5,-4,-1,-4,-3,-3,-3,-1,-1,-2,-2,3,-1.40212824971697,3.33105280022627,"3","2"
"94",-5,-3,-1,-2,-3,-5,-4,-5,-2,-5,-1,-4,-5,-5,-5,-2,-1,-4,-1,3,-4.46048979129094,1.89215388962905,"3","2"
"95",-4,-4,-3,-3,-2,-4,-2,-4,-4,-3,-3,-3,-4,-4,-4,-3,-3,-2,-2,3,-1.48577530696733,0.756362565988382,"3","2"
"96",-5,-5,-1,-3,-1,-3,-2,-4,-5,-1,-1,-2,-3,-1,-1,-1,-1,-2,-2,3,0.702129960340546,2.80005499488812,"3","2"
"97",-5,-3,-4,-4,-5,-5,-3,-5,-1,-2,-4,-4,-4,-5,-3,-5,-3,-4,-4,2,-2.95656060752273,-3.19884259352932,"2","3"
"98",-4,-3,-2,-2,-1,-4,-1,-4,-4,-3,-2,-1,-1,-2,-3,-2,-2,-3,-2,3,0.42179472195716,2.76313037114696,"3","2"
"99",-5,-2,-2,-2,-4,-4,-2,-5,-5,-3,-2,-2,-2,-3,-1,-3,-1,-4,-3,3,-1.61468520454577,1.31639241498497,"3","2"
"100",-5,-4,-4,-5,-2,-3,-1,-4,-1,-1,-1,-4,-5,-4,-4,-4,-4,-1,-4,2,-0.766208390909465,-1.55143883142046,"2","3"
"101",-5,-3,-4,-3,-2,-5,-3,-4,-2,-2,-3,-3,-4,-4,-5,-2,-4,-4,-3,2,-1.92119554650773,-0.899893722112838,"2","3"
"102",-5,-3,-4,-2,-2,-4,-3,-3,-2,-2,-1,-3,-4,-2,-3,-5,-4,-1,-3,2,0.0718287000496476,-1.07809778411005,"2","3"
"103",-5,-3,-2,-1,-1,-3,-4,-4,-1,-3,-2,-2,-2,-3,-3,-1,-1,-4,-4,3,0.129409478634698,1.14267920861525,"3","2"
"104",-5,-3,-2,-2,-2,-2,-1,-5,-1,-2,-1,-1,-2,-4,-5,-2,-1,-1,-3,3,0.258658354520736,2.33661420747696,"3","2"
"105",-5,-3,-2,-2,-1,-1,-3,-3,-2,-1,-1,-1,-1,-2,-1,-4,-1,-1,-5,1,2.61673024443747,0.448923273162108,"1","3"
"106",-5,-3,-1,-2,-2,-4,-1,-4,-2,-4,-2,-4,-4,-4,-4,-2,-1,-1,-3,3,-1.27219084431008,2.03604603817433,"3","2"
"107",-4,-2,-4,-2,-1,-3,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-3,-2,-4,1,2.39111127260394,-0.247120931800406,"1","1"
"108",-5,-5,-4,-1,-2,-4,-4,-5,-5,-2,-1,-3,-5,-5,-3,-4,-3,-2,-2,3,-2.20223977133609,0.301973035531643,"3","2"
"109",-4,-3,-2,-3,-4,-2,-1,-4,-2,-2,-4,-2,-2,-4,-1,-1,-3,-1,-4,1,1.15091507286232,0.559006339220773,"1","1"
"110",-5,-3,-3,-2,-2,-5,-3,-5,-2,-4,-1,-3,-4,-4,-5,-3,-1,-3,-1,3,-2.87751696342918,1.46699245229024,"3","2"
"111",-5,-3,-3,-3,-3,-3,-4,-5,-3,-1,-3,-1,-5,-5,-3,-3,-1,-3,-3,2,-2.02067263655074,-0.407945192844036,"2","2"
"112",-5,-3,-3,-3,-2,-3,-2,-4,-3,-3,-2,-4,-5,-3,-4,-3,-2,-2,-2,3,-1.53412683209343,0.684078112956067,"3","2"
"113",-3,-5,-4,-1,-1,-3,-1,-4,-1,-4,-4,-1,-1,-1,-2,-1,-1,-1,-4,1,3.15175765963324,1.60519713367797,"1","1"
"114",-4,-3,-3,-3,-4,-4,-3,-4,-3,-3,-3,-4,-3,-4,-4,-2,-3,-3,-4,2,-1.86059705014717,-0.408883041010989,"2","3"
"115",-5,-5,-5,-1,-5,-5,-5,-5,-5,-1,-2,-3,-1,-5,-5,-5,-5,-2,-5,2,-1.97097688123394,-2.04055803609505,"2","3"
"116",-5,-4,-5,-3,-1,-2,-2,-5,-2,-2,-2,-3,-4,-3,-4,-3,-1,-1,-4,2,0.0716615276593794,-0.102731514345934,"2","3"
"117",-5,-4,-3,-1,-1,-2,-2,-2,-1,-2,-5,-2,-1,-1,-1,-1,-3,-1,-4,1,4.08139501267716,0.269618321968107,"1","1"
"118",-5,-4,-3,-1,-1,-1,-1,-4,-1,-5,-2,-4,-3,-2,-2,-2,-1,-1,-4,1,1.56448379273402,1.63480222767579,"1","1"
"119",-5,-3,-2,-4,-1,-4,-2,-3,-1,-1,-1,-2,-5,-1,-1,-3,-1,-3,-1,1,0.137594003148856,0.496862866530486,"1","3"
"120",-5,-3,-4,-3,-3,-3,-3,-3,-1,-1,-4,-4,-4,-4,-4,-4,-4,-2,-3,2,-0.45421036652803,-2.18736587616549,"2","3"
"121",-5,-3,-2,-1,-3,-5,-1,-5,-4,-4,-3,-5,-4,-4,-5,-1,-1,-3,-3,3,-2.73598434275655,2.05241923826657,"3","2"
"122",-5,-3,-4,-3,-2,-3,-2,-3,-1,-1,-5,-1,-1,-1,-1,-1,-1,-3,-4,1,2.60033484169329,-0.552968658568799,"1","1"
"123",-5,-3,-2,-3,-3,-4,-5,-1,-1,-1,-3,-3,-4,-4,-2,-3,-1,-2,-2,2,-0.455565368194367,-1.10280122062635,"2","3"
"124",-5,-4,-5,-3,-2,-3,-3,-4,-1,-2,-5,-3,-4,-4,-1,-2,-3,-2,-5,2,0.642943149900109,-2.27377622061191,"2","3"
"125",-3,-4,-1,-3,-1,-3,-1,-5,-5,-4,-4,-3,-1,-1,-5,-5,-2,-1,-3,3,0.0655742709398403,2.242430207262,"3","2"
"126",-1,-4,-4,-1,-1,-2,-2,-4,-1,-1,-1,-2,-1,-1,-3,-2,-3,-2,-2,1,2.91215222657082,1.54669643354877,"1","1"
"127",-5,-4,-3,-2,-3,-2,-2,-5,-4,-3,-5,-2,-2,-2,-4,-2,-1,-1,-3,3,0.377331852468874,1.47891241293069,"3","2"
"128",-4,-3,-4,-4,-4,-3,-3,-3,-2,-3,-4,-3,-2,-4,-3,-3,-3,-2,-5,2,-0.310551940802237,-1.7507220256986,"2","3"
"129",-2,-3,-1,-3,-1,-3,-4,-2,-2,-2,-3,-2,-1,-1,-1,-1,-1,-2,-1,1,2.05726135845694,2.03307950779453,"1","3"
"130",-5,-2,-2,-2,-3,-4,-4,-5,-5,-3,-1,-2,-4,-4,-3,-1,-1,-4,-3,3,-2.92138736600772,1.74209909629687,"3","2"
"131",-5,-4,-3,-1,-1,-3,-2,-4,-4,-4,-2,-5,-4,-4,-4,-2,-2,-1,-2,3,-1.01042703097215,2.04485522916813,"3","2"
"132",-5,-3,-5,-2,-2,-3,-3,-4,-2,-1,-4,-3,-3,-4,-3,-2,-2,-2,-4,2,0.319802197708004,-1.07663833354196,"2","1"
"133",-2,-5,-5,-2,-2,-3,-2,-2,-1,-2,-4,-1,-4,-2,-1,-3,-3,-3,-4,1,2.3114439929299,-1.54687821140394,"1","1"
"134",-5,-3,-1,-2,-4,-5,-1,-5,-4,-4,-2,-2,-3,-3,-3,-2,-1,-3,-1,3,-2.22631418234763,2.87049433059357,"3","2"
"135",-5,-4,-4,-3,-3,-5,-2,-3,-2,-3,-3,-2,-4,-3,-4,-2,-2,-3,-3,2,-1.06092652627659,-0.315426853221891,"2","3"
"136",-5,-4,-2,-4,-3,-4,-2,-5,-2,-5,-3,-5,-2,-3,-3,-2,-1,-2,-3,3,-1.60048443092127,1.05513201584071,"3","2"
"137",-5,-5,-4,-4,-4,-2,-2,-4,-4,-4,-2,-2,-2,-1,-2,-1,-1,-2,-4,3,0.294755662906383,0.963103672668474,"3","2"
"138",-5,-3,-4,-2,-1,-3,-2,-4,-1,-3,-4,-5,-4,-3,-3,-2,-5,-1,-5,2,0.710032376537136,-1.21137669470856,"2","3"
"139",-5,-3,-3,-2,-1,-2,-1,-5,-4,-5,-3,-5,-4,-4,-5,-1,-3,-1,-1,3,-1.39275500921912,2.83707199937544,"3","2"
"140",-5,-3,-2,-2,-2,-2,-2,-5,-3,-3,-4,-3,-2,-3,-2,-2,-3,-2,-4,1,0.483221393539222,0.890425481755694,"1","1"
"141",-4,-2,-3,-5,-4,-5,-2,-3,-1,-1,-5,-4,-3,-2,-1,-5,-1,-3,-4,2,-0.402180752511604,-2.84279953984036,"2","3"
"142",-5,-5,-3,-1,-1,-2,-1,-3,-2,-1,-1,-1,-1,-1,-3,-1,-5,-1,-4,1,3.4932441641905,1.44673281538475,"1","1"
