driverStandingsId,raceId,driverId,points,position,positionText,wins,year
68160,969,830,10.0,5,5,0,2017
68159,969,8,12.0,4,4,0,2017
68158,969,822,15.0,3,3,0,2017
68157,969,1,18.0,2,2,0,2017
68156,969,20,25.0,1,1,1,2017
65515,880,8,25.0,1,1,1,2013
65516,880,4,18.0,2,2,0,2013
65517,880,20,15.0,3,3,0,2013
65518,880,13,12.0,4,4,0,2013
65519,880,1,10.0,5,5,0,2013
65520,880,17,8.0,6,6,0,2013
65521,880,16,6.0,7,7,0,2013
65522,880,814,4.0,8,8,0,2013
65523,880,18,2.0,9,9,0,2013
65524,880,154,1.0,10,10,0,2013
65525,880,815,0.0,11,11,0,2013
65526,880,818,0.0,12,12,0,2013
65527,880,821,0.0,13,13,0,2013
65528,880,822,0.0,14,14,0,2013
65529,880,824,0.0,15,15,0,2013
65530,880,819,0.0,16,16,0,2013
65531,880,820,0.0,17,17,0,2013
65532,880,823,0.0,18,18,0,2013
65533,880,817,0.0,19,19,0,2013
65534,880,3,0.0,20,20,0,2013
65535,880,813,0.0,21,21,0,2013
65536,880,807,0.0,22,22,0,2013
65537,881,8,31.0,2,2,1,2013
65538,881,4,18.0,6,6,0,2013
65539,881,20,40.0,1,1,1,2013
65540,881,13,22.0,5,5,0,2013
65541,881,1,25.0,4,4,0,2013
65542,881,17,26.0,3,3,0,2013
65543,881,16,6.0,9,9,0,2013
65544,881,814,4.0,10,10,0,2013
65545,881,18,2.0,13,13,0,2013
65546,881,154,9.0,8,8,0,2013
65547,881,815,2.0,12,12,0,2013
65548,881,818,1.0,14,14,0,2013
65549,881,821,0.0,16,16,0,2013
65550,881,822,0.0,15,15,0,2013
65551,881,824,0.0,17,17,0,2013
65552,881,819,0.0,18,18,0,2013
65553,881,820,0.0,20,20,0,2013
65554,881,823,0.0,19,19,0,2013
65555,881,817,0.0,21,21,0,2013
65556,881,3,12.0,7,7,0,2013
65557,881,813,0.0,22,22,0,2013
65558,881,807,4.0,11,11,0,2013
65559,882,8,49.0,2,2,1,2013
65560,882,4,43.0,3,3,1,2013
65561,882,20,52.0,1,1,1,2013
65562,882,13,30.0,5,5,0,2013
65563,882,1,40.0,4,4,0,2013
65564,882,17,26.0,6,6,0,2013
65565,882,16,6.0,12,12,0,2013
65566,882,814,8.0,10,10,0,2013
65567,882,18,12.0,8,8,0,2013
65568,882,154,11.0,9,9,0,2013
65569,882,815,2.0,14,14,0,2013
65570,882,818,1.0,15,15,0,2013
65571,882,821,0.0,17,17,0,2013
65572,882,822,0.0,16,16,0,2013
65573,882,824,0.0,18,18,0,2013
65574,882,819,0.0,19,19,0,2013
65575,882,820,0.0,22,22,0,2013
65576,882,823,0.0,21,21,0,2013
65577,882,817,6.0,11,11,0,2013
65578,882,3,12.0,7,7,0,2013
65579,882,813,0.0,20,20,0,2013
65580,882,807,5.0,13,13,0,2013
65581,883,8,67.0,2,2,1,2013
65582,883,4,47.0,4,4,1,2013
65583,883,20,77.0,1,1,2,2013
65584,883,13,30.0,6,6,0,2013
65585,883,1,50.0,3,3,0,2013
65586,883,17,32.0,5,5,0,2013
65587,883,16,6.0,12,12,0,2013
65588,883,814,20.0,8,8,0,2013
65589,883,18,13.0,10,10,0,2013
65590,883,154,26.0,7,7,0,2013
65591,883,815,10.0,11,11,0,2013
65592,883,818,1.0,15,15,0,2013
65593,883,821,0.0,18,18,0,2013
65594,883,822,0.0,16,16,0,2013
65595,883,824,0.0,19,19,0,2013
65596,883,819,0.0,20,20,0,2013
65597,883,820,0.0,22,22,0,2013
65598,883,823,0.0,21,21,0,2013
65599,883,817,6.0,13,13,0,2013
65600,883,3,14.0,9,9,0,2013
65601,883,813,0.0,17,17,0,2013
65602,883,807,5.0,14,14,0,2013
65645,884,813,0.0,18,18,0,2013
65644,884,3,22.0,9,9,0,2013
65643,884,817,7.0,12,12,0,2013
65641,884,820,0.0,22,22,0,2013
65639,884,824,0.0,19,19,0,2013
65638,884,822,0.0,17,17,0,2013
65637,884,821,0.0,16,16,0,2013
65636,884,818,1.0,15,15,0,2013
65633,884,18,17.0,10,10,0,2013
65632,884,814,26.0,8,8,0,2013
65631,884,16,6.0,13,13,0,2013
65630,884,17,42.0,6,6,0,2013
65629,884,1,50.0,4,4,0,2013
65627,884,20,89.0,1,1,2,2013
65626,884,4,72.0,3,3,2,2013
65625,884,8,85.0,2,2,1,2013
65646,884,807,5.0,14,14,0,2013
65642,884,823,0.0,21,21,0,2013
65640,884,819,0.0,20,20,0,2013
65635,884,815,12.0,11,11,0,2013
65634,884,154,26.0,7,7,0,2013
65628,884,13,45.0,5,5,0,2013
65647,885,8,86.0,2,2,1,2013
65648,885,4,78.0,3,3,2,2013
65649,885,20,107.0,1,1,2,2013
65650,885,13,45.0,7,7,0,2013
65651,885,1,62.0,4,4,0,2013
65652,885,17,57.0,5,5,0,2013
65653,885,16,16.0,11,11,0,2013
65654,885,814,28.0,8,8,0,2013
65655,885,18,25.0,10,10,0,2013
65656,885,154,26.0,9,9,0,2013
65657,885,815,12.0,12,12,0,2013
65658,885,818,5.0,15,15,0,2013
65659,885,821,0.0,16,16,0,2013
65660,885,822,0.0,17,17,0,2013
65661,885,824,0.0,19,19,0,2013
65662,885,819,0.0,20,20,0,2013
65663,885,820,0.0,21,21,0,2013
65664,885,823,0.0,22,22,0,2013
65665,885,817,7.0,13,13,0,2013
65666,885,3,47.0,6,6,1,2013
65667,885,813,0.0,18,18,0,2013
65668,885,807,5.0,14,14,0,2013
65669,886,8,88.0,3,3,1,2013
65670,886,4,96.0,2,2,2,2013
65671,886,20,132.0,1,1,3,2013
65672,886,13,49.0,7,7,0,2013
65673,886,1,77.0,4,4,0,2013
65674,886,17,69.0,5,5,0,2013
65675,886,16,17.0,11,11,0,2013
65676,886,814,34.0,8,8,0,2013
65677,886,18,25.0,10,10,0,2013
65678,886,154,26.0,9,9,0,2013
65679,886,815,12.0,13,13,0,2013
65680,886,818,13.0,12,12,0,2013
65681,886,821,0.0,16,16,0,2013
65682,886,822,0.0,17,17,0,2013
65683,886,824,0.0,19,19,0,2013
65684,886,819,0.0,20,20,0,2013
65685,886,820,0.0,21,21,0,2013
65686,886,823,0.0,22,22,0,2013
65687,886,817,7.0,14,14,0,2013
65688,886,3,57.0,6,6,1,2013
65689,886,813,0.0,18,18,0,2013
65690,886,807,5.0,15,15,0,2013
65734,887,807,6.0,15,15,0,2013
65733,887,813,0.0,16,16,0,2013
65731,887,817,11.0,14,14,0,2013
65730,887,823,0.0,22,22,0,2013
65728,887,819,0.0,20,20,0,2013
65727,887,824,0.0,19,19,0,2013
65725,887,821,0.0,18,18,0,2013
65724,887,818,13.0,12,12,0,2013
65719,887,16,23.0,11,11,0,2013
65718,887,17,87.0,5,5,0,2013
65715,887,20,132.0,1,1,3,2013
65716,887,13,57.0,7,7,0,2013
65717,887,1,89.0,4,4,0,2013
65732,887,3,82.0,6,6,2,2013
65729,887,820,0.0,21,21,0,2013
65726,887,822,0.0,17,17,0,2013
65720,887,814,36.0,8,8,0,2013
65713,887,8,98.0,3,3,1,2013
65714,887,4,111.0,2,2,2,2013
65723,887,815,12.0,13,13,0,2013
65722,887,154,26.0,9,9,0,2013
65721,887,18,25.0,10,10,0,2013
65735,888,8,116.0,3,3,1,2013
65736,888,4,123.0,2,2,2,2013
65737,888,20,157.0,1,1,4,2013
65738,888,13,57.0,7,7,0,2013
65739,888,1,99.0,4,4,0,2013
65740,888,17,93.0,5,5,0,2013
65741,888,16,23.0,11,11,0,2013
65742,888,814,36.0,9,9,0,2013
65743,888,18,33.0,10,10,0,2013
65744,888,154,41.0,8,8,0,2013
65745,888,815,16.0,12,12,0,2013
65746,888,818,13.0,13,13,0,2013
65747,888,821,0.0,18,18,0,2013
65748,888,822,0.0,17,17,0,2013
65749,888,824,0.0,19,19,0,2013
65750,888,819,0.0,20,20,0,2013
65751,888,820,0.0,21,21,0,2013
65752,888,823,0.0,22,22,0,2013
65753,888,817,11.0,14,14,0,2013
65754,888,3,84.0,6,6,2,2013
65755,888,813,0.0,16,16,0,2013
65756,888,807,7.0,15,15,0,2013
65757,890,8,134.0,2,2,1,2013
65758,890,4,133.0,3,3,2,2013
65759,890,20,172.0,1,1,4,2013
65760,890,13,61.0,7,7,0,2013
65761,890,1,124.0,4,4,1,2013
65762,890,17,105.0,5,5,0,2013
65763,890,16,23.0,11,11,0,2013
65764,890,814,36.0,10,10,0,2013
65765,890,18,39.0,9,9,0,2013
65766,890,154,49.0,8,8,0,2013
65767,890,815,18.0,12,12,0,2013
65768,890,818,13.0,13,13,0,2013
65769,890,821,0.0,18,18,0,2013
65770,890,822,0.0,17,17,0,2013
65771,890,824,0.0,19,19,0,2013
65772,890,819,0.0,20,20,0,2013
65773,890,820,0.0,22,22,0,2013
65774,890,823,0.0,21,21,0,2013
65775,890,817,11.0,14,14,0,2013
65776,890,3,84.0,6,6,2,2013
65777,890,813,1.0,16,16,0,2013
65778,890,807,7.0,15,15,0,2013
65779,891,8,134.0,4,4,1,2013
65780,891,4,151.0,2,2,2,2013
65781,891,20,197.0,1,1,5,2013
65782,891,13,67.0,7,7,0,2013
65783,891,1,139.0,3,3,1,2013
65784,891,17,115.0,5,5,0,2013
65785,891,16,25.0,11,11,0,2013
65786,891,814,36.0,10,10,0,2013
65787,891,18,47.0,9,9,0,2013
65788,891,154,53.0,8,8,0,2013
65789,891,815,18.0,12,12,0,2013
65790,891,818,13.0,13,13,0,2013
65791,891,821,0.0,18,18,0,2013
65792,891,822,0.0,17,17,0,2013
65793,891,824,0.0,19,19,0,2013
65794,891,819,0.0,20,20,0,2013
65795,891,820,0.0,22,22,0,2013
65796,891,823,0.0,21,21,0,2013
65797,891,817,12.0,14,14,0,2013
65798,891,3,96.0,6,6,2,2013
65799,891,813,1.0,16,16,0,2013
65800,891,807,7.0,15,15,0,2013
65801,892,8,134.0,4,4,1,2013
65802,892,4,169.0,2,2,2,2013
65803,892,20,222.0,1,1,6,2013
65804,892,13,79.0,7,7,0,2013
65805,892,1,141.0,3,3,1,2013
65806,892,17,130.0,5,5,0,2013
65807,892,16,25.0,11,11,0,2013
65808,892,814,36.0,10,10,0,2013
65809,892,18,48.0,9,9,0,2013
65810,892,154,57.0,8,8,0,2013
65811,892,815,18.0,12,12,0,2013
65812,892,818,13.0,15,15,0,2013
65813,892,821,0.0,18,18,0,2013
65814,892,822,0.0,17,17,0,2013
65815,892,824,0.0,19,19,0,2013
65816,892,819,0.0,20,20,0,2013
65817,892,820,0.0,22,22,0,2013
65818,892,823,0.0,21,21,0,2013
65819,892,817,18.0,13,13,0,2013
65820,892,3,104.0,6,6,2,2013
65821,892,813,1.0,16,16,0,2013
65822,892,807,17.0,14,14,0,2013
65823,893,8,149.0,4,4,1,2013
65824,893,4,187.0,2,2,2,2013
65825,893,20,247.0,1,1,7,2013
65826,893,13,87.0,7,7,0,2013
65827,893,1,151.0,3,3,1,2013
65828,893,17,130.0,5,5,0,2013
65829,893,16,26.0,11,11,0,2013
65830,893,814,36.0,10,10,0,2013
65831,893,18,54.0,9,9,0,2013
65832,893,154,57.0,8,8,0,2013
65833,893,815,22.0,12,12,0,2013
65834,893,818,13.0,15,15,0,2013
65835,893,821,0.0,17,17,0,2013
65836,893,822,0.0,18,18,0,2013
65837,893,824,0.0,19,19,0,2013
65838,893,819,0.0,20,20,0,2013
65839,893,820,0.0,22,22,0,2013
65840,893,823,0.0,21,21,0,2013
65841,893,817,18.0,14,14,0,2013
65842,893,3,116.0,6,6,2,2013
65843,893,813,1.0,16,16,0,2013
65844,893,807,19.0,13,13,0,2013
65845,894,8,167.0,3,3,1,2013
65846,894,4,195.0,2,2,2,2013
65847,894,20,272.0,1,1,8,2013
65848,894,13,89.0,7,7,0,2013
65849,894,1,161.0,4,4,1,2013
65850,894,17,130.0,5,5,0,2013
65851,894,16,26.0,12,12,0,2013
65852,894,814,36.0,10,10,0,2013
65853,894,18,58.0,9,9,0,2013
65854,894,154,72.0,8,8,0,2013
65855,894,815,23.0,13,13,0,2013
65856,894,818,13.0,15,15,0,2013
65857,894,821,0.0,17,17,0,2013
65858,894,822,0.0,18,18,0,2013
65859,894,824,0.0,19,19,0,2013
65860,894,819,0.0,20,20,0,2013
65861,894,820,0.0,22,22,0,2013
65862,894,823,0.0,21,21,0,2013
65863,894,817,18.0,14,14,0,2013
65864,894,3,122.0,6,6,2,2013
65865,894,813,1.0,16,16,0,2013
65866,894,807,31.0,11,11,0,2013
65867,895,8,177.0,3,3,1,2013
65868,895,4,207.0,2,2,2,2013
65869,895,20,297.0,1,1,9,2013
65870,895,13,90.0,7,7,0,2013
65871,895,1,161.0,4,4,1,2013
65872,895,17,148.0,5,5,0,2013
65873,895,16,26.0,12,12,0,2013
65874,895,814,36.0,11,11,0,2013
65875,895,18,60.0,9,9,0,2013
65876,895,154,87.0,8,8,0,2013
65877,895,815,23.0,13,13,0,2013
65878,895,818,13.0,15,15,0,2013
65879,895,821,6.0,16,16,0,2013
65880,895,822,0.0,18,18,0,2013
65881,895,824,0.0,19,19,0,2013
65882,895,819,0.0,20,20,0,2013
65883,895,820,0.0,22,22,0,2013
65884,895,823,0.0,21,21,0,2013
65885,895,817,18.0,14,14,0,2013
65886,895,3,126.0,6,6,2,2013
65887,895,813,1.0,17,17,0,2013
65888,895,807,39.0,10,10,0,2013
65889,896,8,183.0,3,3,1,2013
65890,896,4,207.0,2,2,2,2013
65891,896,20,322.0,1,1,10,2013
65892,896,13,102.0,8,8,0,2013
65893,896,1,169.0,4,4,1,2013
65894,896,17,148.0,5,5,0,2013
65895,896,16,28.0,13,13,0,2013
65896,896,814,40.0,10,10,0,2013
65897,896,18,60.0,9,9,0,2013
65898,896,154,102.0,7,7,0,2013
65899,896,815,33.0,12,12,0,2013
65900,896,818,13.0,15,15,0,2013
65901,896,821,6.0,16,16,0,2013
65902,896,822,0.0,18,18,0,2013
65903,896,824,0.0,19,19,0,2013
65904,896,819,0.0,20,20,0,2013
65905,896,820,0.0,22,22,0,2013
65906,896,823,0.0,21,21,0,2013
65907,896,817,19.0,14,14,0,2013
65908,896,3,144.0,6,6,2,2013
65909,896,813,1.0,17,17,0,2013
65910,896,807,39.0,11,11,0,2013
65911,897,8,183.0,3,3,1,2013
65912,897,4,217.0,2,2,2,2013
65913,897,20,347.0,1,1,11,2013
65914,897,13,106.0,8,8,0,2013
65915,897,1,175.0,4,4,1,2013
65916,897,17,166.0,5,5,0,2013
65917,897,16,29.0,13,13,0,2013
65918,897,814,48.0,10,10,0,2013
65919,897,18,60.0,9,9,0,2013
65920,897,154,114.0,7,7,0,2013
65921,897,815,35.0,12,12,0,2013
65922,897,818,13.0,15,15,0,2013
65923,897,821,6.0,16,16,0,2013
65924,897,822,0.0,18,18,0,2013
65925,897,824,0.0,19,19,0,2013
65926,897,819,0.0,20,20,0,2013
65927,897,820,0.0,22,22,0,2013
65928,897,823,0.0,21,21,0,2013
65929,897,817,19.0,14,14,0,2013
65930,897,3,159.0,6,6,2,2013
65931,897,813,1.0,17,17,0,2013
65932,897,807,39.0,11,11,0,2013
65933,898,8,183.0,4,4,1,2013
65934,898,4,227.0,2,2,2,2013
65935,898,20,372.0,1,1,12,2013
65936,898,13,106.0,8,8,0,2013
65937,898,1,187.0,3,3,1,2013
65938,898,17,181.0,5,5,0,2013
65939,898,16,29.0,13,13,0,2013
65940,898,814,48.0,10,10,0,2013
65941,898,18,61.0,9,9,0,2013
65942,898,154,132.0,7,7,0,2013
65943,898,815,41.0,12,12,0,2013
65944,898,818,13.0,15,15,0,2013
65945,898,821,6.0,16,16,0,2013
65946,898,822,4.0,17,17,0,2013
65947,898,824,0.0,19,19,0,2013
65948,898,819,0.0,20,20,0,2013
65949,898,820,0.0,22,22,0,2013
65950,898,823,0.0,21,21,0,2013
65951,898,817,19.0,14,14,0,2013
65952,898,3,161.0,6,6,2,2013
65953,898,813,1.0,18,18,0,2013
65954,898,807,47.0,11,11,0,2013
65955,898,5,0.0,23,23,0,2013
65956,899,8,183.0,5,5,1,2013
65957,899,4,242.0,2,2,2,2013
65958,899,20,397.0,1,1,13,2013
65959,899,13,112.0,8,8,0,2013
65960,899,1,189.0,4,4,1,2013
65961,899,17,199.0,3,3,0,2013
65962,899,16,29.0,13,13,0,2013
65963,899,814,48.0,12,12,0,2013
65964,899,18,73.0,9,9,0,2013
65965,899,154,132.0,7,7,0,2013
65966,899,815,49.0,11,11,0,2013
65967,899,818,13.0,15,15,0,2013
65968,899,821,6.0,16,16,0,2013
65969,899,822,4.0,17,17,0,2013
65970,899,824,0.0,19,19,0,2013
65971,899,819,0.0,20,20,0,2013
65972,899,820,0.0,23,23,0,2013
65973,899,823,0.0,21,21,0,2013
65974,899,817,20.0,14,14,0,2013
65975,899,3,171.0,6,6,2,2013
65976,899,813,1.0,18,18,0,2013
65977,899,807,51.0,10,10,0,2013
65978,899,5,0.0,22,22,0,2013
66632,900,13,0.0,20,20,0,2014
66630,900,20,0.0,18,18,0,2014
66628,900,813,0.0,16,16,0,2014
66626,900,824,0.0,14,14,0,2014
66624,900,821,0.0,12,12,0,2014
66614,900,825,18.0,2,2,0,2014
66615,900,18,15.0,3,3,0,2014
66616,900,4,12.0,4,4,0,2014
66617,900,822,10.0,5,5,0,2014
66618,900,807,8.0,6,6,0,2014
66619,900,8,6.0,7,7,0,2014
66633,900,155,0.0,21,21,0,2014
66631,900,1,0.0,19,19,0,2014
66629,900,828,0.0,17,17,0,2014
66627,900,154,0.0,15,15,0,2014
66625,900,820,0.0,13,13,0,2014
66623,900,16,0.0,11,11,0,2014
66622,900,815,1.0,10,10,0,2014
66621,900,826,2.0,9,9,0,2014
66620,900,818,4.0,8,8,0,2014
66613,900,3,25.0,1,1,1,2014
66634,900,817,0.0,22,22,0,2014
66635,901,3,43.0,1,1,1,2014
66636,901,825,20.0,5,5,0,2014
66637,901,18,23.0,4,4,0,2014
66638,901,4,24.0,3,3,0,2014
66639,901,822,14.0,8,8,0,2014
66640,901,807,18.0,6,6,0,2014
66641,901,8,6.0,9,9,0,2014
66642,901,818,4.0,11,11,0,2014
66643,901,826,3.0,12,12,0,2014
66644,901,815,1.0,13,13,0,2014
66645,901,16,0.0,15,15,0,2014
66646,901,821,0.0,16,16,0,2014
66647,901,820,0.0,17,17,0,2014
66648,901,824,0.0,20,20,0,2014
66649,901,154,0.0,14,14,0,2014
66650,901,813,0.0,21,21,0,2014
66651,901,828,0.0,19,19,0,2014
66652,901,20,15.0,7,7,0,2014
66653,901,1,25.0,2,2,1,2014
66654,901,13,6.0,10,10,0,2014
66655,901,155,0.0,18,18,0,2014
66656,901,817,0.0,22,22,0,2014
66657,902,3,61.0,1,1,1,2014
66658,902,825,20.0,7,7,0,2014
66659,902,18,23.0,5,5,0,2014
66660,902,4,26.0,4,4,0,2014
66661,902,822,18.0,8,8,0,2014
66662,902,807,28.0,3,3,0,2014
66663,902,8,7.0,12,12,0,2014
66664,902,818,4.0,13,13,0,2014
66665,902,826,3.0,14,14,0,2014
66666,902,815,16.0,9,9,0,2014
66667,902,16,0.0,16,16,0,2014
66668,902,821,0.0,17,17,0,2014
66669,902,820,0.0,18,18,0,2014
66670,902,824,0.0,22,22,0,2014
66671,902,154,0.0,15,15,0,2014
66672,902,813,0.0,20,20,0,2014
66673,902,828,0.0,21,21,0,2014
66674,902,20,23.0,6,6,0,2014
66675,902,1,50.0,2,2,2,2014
66676,902,13,12.0,11,11,0,2014
66677,902,155,0.0,19,19,0,2014
66678,902,817,12.0,10,10,0,2014
66679,903,3,79.0,1,1,1,2014
66680,903,825,20.0,9,9,0,2014
66681,903,18,23.0,8,8,0,2014
66682,903,4,41.0,3,3,0,2014
66683,903,822,24.0,7,7,0,2014
66684,903,807,36.0,4,4,0,2014
66685,903,8,11.0,12,12,0,2014
66686,903,818,4.0,13,13,0,2014
66687,903,826,4.0,14,14,0,2014
66688,903,815,18.0,10,10,0,2014
66689,903,16,0.0,16,16,0,2014
66690,903,821,0.0,17,17,0,2014
66691,903,820,0.0,18,18,0,2014
66692,903,824,0.0,22,22,0,2014
66693,903,154,0.0,15,15,0,2014
66694,903,813,0.0,20,20,0,2014
66695,903,828,0.0,21,21,0,2014
66696,903,20,33.0,5,5,0,2014
66697,903,1,75.0,2,2,3,2014
66698,903,13,12.0,11,11,0,2014
66699,903,155,0.0,19,19,0,2014
66700,903,817,24.0,6,6,0,2014
66701,904,3,97.0,2,2,1,2014
66702,904,825,20.0,9,9,0,2014
66703,904,18,23.0,8,8,0,2014
66704,904,4,49.0,3,3,0,2014
66705,904,822,34.0,7,7,0,2014
66706,904,807,37.0,6,6,0,2014
66707,904,8,17.0,11,11,0,2014
66708,904,818,4.0,14,14,0,2014
66709,904,826,4.0,15,15,0,2014
66710,904,815,20.0,10,10,0,2014
66711,904,16,0.0,16,16,0,2014
66712,904,821,0.0,17,17,0,2014
66713,904,820,0.0,18,18,0,2014
66714,904,824,0.0,22,22,0,2014
66715,904,154,4.0,13,13,0,2014
66716,904,813,0.0,20,20,0,2014
66717,904,828,0.0,21,21,0,2014
66718,904,20,45.0,4,4,0,2014
66719,904,1,100.0,1,1,4,2014
66720,904,13,12.0,12,12,0,2014
66721,904,155,0.0,19,19,0,2014
66722,904,817,39.0,5,5,0,2014
66723,905,3,122.0,1,1,2,2014
66724,905,825,21.0,9,9,0,2014
66725,905,18,31.0,8,8,0,2014
66726,905,4,61.0,3,3,0,2014
66727,905,822,34.0,7,7,0,2014
66728,905,807,47.0,5,5,0,2014
66729,905,8,17.0,12,12,0,2014
66730,905,818,4.0,14,14,0,2014
66731,905,826,4.0,15,15,0,2014
66732,905,815,20.0,10,10,0,2014
66733,905,16,0.0,18,18,0,2014
66734,905,821,0.0,19,19,0,2014
66735,905,820,0.0,20,20,0,2014
66736,905,824,2.0,16,16,0,2014
66737,905,154,8.0,13,13,0,2014
66738,905,813,0.0,22,22,0,2014
66739,905,828,0.0,17,17,0,2014
66740,905,20,45.0,6,6,0,2014
66741,905,1,118.0,2,2,4,2014
66742,905,13,18.0,11,11,0,2014
66743,905,155,0.0,21,21,0,2014
66744,905,817,54.0,4,4,0,2014
66745,906,3,140.0,1,1,2,2014
66746,906,825,23.0,9,9,0,2014
66747,906,18,43.0,7,7,0,2014
66748,906,4,69.0,4,4,0,2014
66749,906,822,40.0,8,8,0,2014
66750,906,807,57.0,6,6,0,2014
66751,906,8,18.0,12,12,0,2014
66752,906,818,8.0,14,14,0,2014
66753,906,826,4.0,15,15,0,2014
66754,906,815,20.0,10,10,0,2014
66755,906,16,0.0,17,17,0,2014
66756,906,821,0.0,19,19,0,2014
66757,906,820,0.0,20,20,0,2014
66758,906,824,2.0,16,16,0,2014
66759,906,154,8.0,13,13,0,2014
66760,906,813,0.0,22,22,0,2014
66761,906,828,0.0,18,18,0,2014
66762,906,20,60.0,5,5,0,2014
66763,906,1,118.0,2,2,4,2014
66764,906,13,18.0,11,11,0,2014
66765,906,155,0.0,21,21,0,2014
66766,906,817,79.0,3,3,1,2014
66767,907,3,165.0,1,1,3,2014
66768,907,825,29.0,10,10,0,2014
66769,907,18,43.0,8,8,0,2014
66770,907,4,79.0,4,4,0,2014
66771,907,822,55.0,7,7,0,2014
66772,907,807,59.0,6,6,0,2014
66773,907,8,19.0,12,12,0,2014
66774,907,818,8.0,14,14,0,2014
66775,907,826,4.0,15,15,0,2014
66776,907,815,28.0,11,11,0,2014
66777,907,16,0.0,17,17,0,2014
66778,907,821,0.0,20,20,0,2014
66779,907,820,0.0,21,21,0,2014
66780,907,824,2.0,16,16,0,2014
66781,907,154,8.0,13,13,0,2014
66782,907,813,0.0,19,19,0,2014
66783,907,828,0.0,18,18,0,2014
66784,907,20,60.0,5,5,0,2014
66785,907,1,136.0,2,2,4,2014
66786,907,13,30.0,9,9,0,2014
66787,907,155,0.0,22,22,0,2014
66788,907,817,83.0,3,3,1,2014
66789,908,3,165.0,1,1,3,2014
66790,908,825,35.0,9,9,0,2014
66791,908,18,55.0,8,8,0,2014
66792,908,4,87.0,4,4,0,2014
66793,908,822,73.0,5,5,0,2014
66794,908,807,63.0,7,7,0,2014
66795,908,8,19.0,12,12,0,2014
66796,908,818,9.0,13,13,0,2014
66797,908,826,6.0,15,15,0,2014
66798,908,815,28.0,11,11,0,2014
66799,908,16,0.0,17,17,0,2014
66800,908,821,0.0,20,20,0,2014
66801,908,820,0.0,21,21,0,2014
66802,908,824,2.0,16,16,0,2014
66803,908,154,8.0,14,14,0,2014
66804,908,813,0.0,19,19,0,2014
66805,908,828,0.0,18,18,0,2014
66806,908,20,70.0,6,6,0,2014
66807,908,1,161.0,2,2,5,2014
66808,908,13,30.0,10,10,0,2014
66809,908,155,0.0,22,22,0,2014
66810,908,817,98.0,3,3,1,2014
66811,909,3,190.0,1,1,4,2014
66812,909,825,37.0,9,9,0,2014
66813,909,18,59.0,8,8,0,2014
66814,909,4,97.0,4,4,0,2014
66815,909,822,91.0,5,5,0,2014
66816,909,807,69.0,7,7,0,2014
66817,909,8,19.0,12,12,0,2014
66818,909,818,9.0,13,13,0,2014
66819,909,826,6.0,15,15,0,2014
66820,909,815,29.0,11,11,0,2014
66821,909,16,0.0,17,17,0,2014
66822,909,821,0.0,20,20,0,2014
66823,909,820,0.0,21,21,0,2014
66824,909,824,2.0,16,16,0,2014
66825,909,154,8.0,14,14,0,2014
66826,909,813,0.0,19,19,0,2014
66827,909,828,0.0,18,18,0,2014
66828,909,20,82.0,6,6,0,2014
66829,909,1,176.0,2,2,5,2014
66830,909,13,30.0,10,10,0,2014
66831,909,155,0.0,22,22,0,2014
66832,909,817,106.0,3,3,1,2014
66833,910,3,202.0,1,1,4,2014
66834,910,825,37.0,10,10,0,2014
66835,910,18,60.0,8,8,0,2014
66836,910,4,115.0,4,4,0,2014
66837,910,822,95.0,5,5,0,2014
66838,910,807,69.0,7,7,0,2014
66839,910,8,27.0,12,12,0,2014
66840,910,818,11.0,13,13,0,2014
66841,910,826,6.0,15,15,0,2014
66842,910,815,29.0,11,11,0,2014
66843,910,16,0.0,17,17,0,2014
66844,910,821,0.0,20,20,0,2014
